,Texts,SWN Analysis,Emotions
849,自从三年前和一群朋友闹翻后，我就好像打了败仗的士兵，把自己的内心困了起来，放任自己在自责的漩涡里。虽然上了大学还是有交新的朋友，可是感觉那些朋友都不是真心的朋友，也没有什么共同话题。。。我的世界变得冷清许多，上一次的热闹已经是三年前了。我好想让这个士兵不再逃避，从心洞里爬出来。。可是这么久自己支撑者自己让我觉得好累。我知道有些事情要靠自己才能走出来，可是我好希望有一个人可以闯入我的生命里，帮我，救我。我好想要走出去，回到充满笑声的生活，人与人之间不再是恶意和伤害。,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
850,"考试没有考满分,eg: cgpa 3.80 or 3.92,,, 是不是不应该给别人读书的建议....",Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
852,genuine question is there any scholarship that we could apply for if already in second year? cause i only saw many for first year student,Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.0, 'Fear': 0.5}"
855,#USMCFS27059,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
856,I really tired working for you.,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.0, 'Fear': 0.5}"
858,谦虚乃到达成功彼岸的根本,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
859,永远不要相信欺骗和背叛你的人，有了一次还会有第二次。,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
860,诶真巧 我也21岁诶 也有6为数存款诶,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
861,真人真事2年前。。故事全忆复杂过长，有人说我在篇故事。。,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
862,DÉJÀ VU I've just been in this place b4,Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}"
863,"I am currently an engineering student who is going to enter year 3 soon. Nowadays I always wonder what would be the future of an engineering student who doesn’t have so much passion in engineering, dunno how to explore more about engineering sector, and hardly catch up the syllabus?",Positive,"{'Happy': 0.0, 'Angry': 0.12, 'Surprise': 0.12, 'Sad': 0.12, 'Fear': 0.62}"
864,Ginjiong nia,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
866,any Englisshhh/brritisshhh detective drama suggestion here the one with ACCENT,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
867,Gosh admin update page at 1am take care admin get some sleep pls,Positive,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
868,#USMCFS27094,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
869,"请问 SOM 现在选了Major后，Y2S2前还能换Major吗？,不过如果你打算Y2S1就开始拿major course，你就需要在deadline前提交major form",Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
870,Facility Fees no discount?,Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}"
871,[15.08.2021],Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
872,宅有3个阶段 第一是当你开始宅 第二是当你发现宅不被世界接受 最后是当你知道宅不被接受但是依然选择继续宅,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
873,"To those who think Taxxban taking over Afghanistan is not an issue to be concerned by Malaysian, you should see the comments under the news report of related topic. You will find out there are a huge portion of people who actually support this extremist military group, some of them even condemn those who stand against Taxxban as Islamophobia, which is utterly not the case.",Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.33, 'Fear': 0.17}"
874,我是一位今年毕业的stpm，想分享一些观点。我想说选择stpm也不是什么糟糕的事，不要觉得读stpm很慢浪费时间还是什么的，只要有心想读什么都没问题。,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
875,饿有三个阶段 第一是当你意识到你饿了 第二是当你决定不想起身去找食物因为你正在做的某种娱乐性质活动太精彩了 最后是当你确认你再不吃你将胃进风胃酸倒流进而引发十二指肠溃疡急性盲肠溃烂阑尾炎,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
876,有什么是你进大学了才知道的事情，让你感觉落差很大？,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
877,无论ta有没有6位数，我们都可以从ta的言论中感受非常明显的自卑心理。 你就是因为太过在乎这些，才会被炫富的人炫到富。,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
878,"请问各位大大，读graphic design比较适合用哪一个model呢？AMD听说很吃graphic, 是不是intel比较适合呢？",Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
879,"Hi. Anyone here applying for ′′ financial assistance for internship ′′ from school? When will you get money?,· See original  · Rate this translation",Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}"
880,弱弱地问一下，有谁和我一样申请郭氏奖学金吗？为什么到现在还没有消息呢,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
881,几时抢科？,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
882,请问这里有想了解机械工程系的吗？,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
884,申请奖学金的 以我以前的经验 2个月里面没有任何消息就可以放弃了的,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
885,哈咯 各位大大。本妹子想要入手一台新电脑。但是真的对电脑不了解 怕入坑 之前去过电脑店质询然后被介绍的都是3/4k的电脑，也不知道到底该注意什么地方。我的预算不高3000 （+/- 200）这样。没有什么特别要求，只求不卡，有时会需要到一下基本的影片剪辑。所以各位有没有什么电脑可以推荐的呢？,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
886,Applied for ppsl i hope i can get it. Really wants to meet other creatures and having some interactions with human. Please take me.,Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.33, 'Fear': 0.33}"
887,想知道大家对于考车“包pass”是什么想法呢？,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
888,🤡,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
889,Admin Botak,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
890,"help me , i just paid my last semester’s fee . And dia tak update lagi eh on eFas yang baki tu masih ada ? Bila diorang mau update baki itu hilang ?",Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0}"
891,This happen to me like in real life,Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.5, 'Fear': 0.5}"
893,Next sem need back to campus???,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
894,"Actually im from other uni, but just want to confess here because its fully anonymous hehe, my uni's confession page uses google form so they(admin) know who am i, i scared la The KPT/uni have started to collect vaccine information from students i see, is it means that the probability that next semester students have to go to campus is very very high right even though with daily cases so high, even staying at home also can kena. Go campus confirm a lot worse. I… See More",Negative,"{'Happy': 0.0, 'Angry': 0.08, 'Surprise': 0.08, 'Sad': 0.42, 'Fear': 0.42}"
895,Tell me ppsl or my health important?,Positive,"{'Happy': 0.5, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.5, 'Fear': 0.0}"
896,Form 6 和大学就只差那么一年，可是为什么大学认识的朋友却不如form 6的朋友那么真？我发现自己也变得对于别人来说也没那么真了。人是不是到了生命的另一个阶段就会产生巨大变化？,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
898,Okokokokok,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
900,I feel no hope for our beloved country..............................................................,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}"
901,I wish I get to know you better. What you like and dislike. Your favourite car.,Positive,"{'Happy': 1.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.0}"
902,"I am single and ready to mingle. Is there any girl(any nationality should be fine) looking for boyfriend? if you does keep comment below, i will stalk your profile. Very boring without girlfriend in USM, i can see couples enjoying and me sad face lol .",Positive,"{'Happy': 0.6, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.4, 'Fear': 0.0}"
903,看了原神2.1的前瞻直播，看到稻妻bgm的录音过程后，觉得我以后开原神都需要穿西装配红酒了。要不然对不起米哈游的音乐department,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
904,自从上网课后 我习惯性的会迟睡 不是睡不着 就是有一种执念就是不想睡 好像只是沉浸在自己的世界 刷着视频 回想起以前那种自律的生活 突然觉得我的精神面貌越来越差了 这样不行 必须努力调整回来 特写这个来激励自己 看看一个月内能改掉这个坏习惯吗 如果不能.......下个月再写........,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
905,Rematch OMG,Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0}"
906,现在的人是不是觉得这些工作薪水高，所以就去读这些科目。结果很多人有这样的想法，过了10年后，非常多人在抢一个饭碗，结果只能失业，可能那些比较小众的工作就突然变得高薪水。,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
907,*lick* kono aji wa... Uso o tsuiteiru aji daze SORA,Negative,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
908,"Hello everyone. I really need some advise from USM seniors or any graduates out there. My cgpa right now is 3.35 and I'm going to be 3rd year next sidang. I'm very afraid whether this is enough to get a job out there since the situation now is not so promising. I know, still got time so enjoy first lorr~ but I really need help to organise myself and not stress out",Positive,"{'Happy': 0.08, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.08, 'Fear': 0.5}"
910,Here's paimon getting threatened by literally a GOD in case u wanna find someone who's also having a bad day,Negative,"{'Happy': 0.2, 'Angry': 0.0, 'Surprise': 0.2, 'Sad': 0.4, 'Fear': 0.2}"
911,May I ask what is the date to register the course? Thanks for answering,Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}"
912,"Yes, I did that too",Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 1.0, 'Fear': 0.0}"
913,Well... The numbers are gonna change.... Right?,Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}"
914,想要买laptop 适合engineering course的 有人有推荐吗 价位4000一下,Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}"
915,How the tables have turned...,Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0}"
916,"我建议那些智商不高和不努力的人不要读IT,不然你会像我一样一直撞墙，整天跟有字天书在一起。写程序头痛，画UML diagram画到很痛苦，队友又不要帮你解决问题，上网找那些印度大佬帮忙他们又要给钱，我的小中学数学科学老师如果我问他们问题他们都会直接写解答给我看，现在到了大学因为读IT的人平常生活已经很累了，所以他们就直接发YouTube链接叫你看着他学习，这样叫帮别人解问题？拜托啦，我看得懂的话我来找你干嘛，傻瓜都懂YouTube有很多教材，可是我看不懂啊所以我才来找你帮我debug啊！哈咯，你直接帮我写下我不会的代码然后我得空的时候自己看回去你在写什么东西不是更快帮我理解？！小中学都是这样的没错吧！我自学能力很差的类，你们帮我一下不可以吗？你差就讲啦，回我什么要我们帮你做功课？哈咯，你中学数学就算你是抄同学的，你过后回家有去看的话你考试还是会做的啊，程序也是一样的道理的，又不是叫你们帮我代考啦，assignment罢了嘞，帮我写下我不会的代码会*吗？，真的搞不清楚这些人在想什么的！就算以后讲读IT能够赚大钱又怎样，你… See More",Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
919,有些人只会做一些无法实现的梦和幻想，不是想泼他们冷水，只是想让他们早一点认清现实，现实和梦想其实差很远，这就是为什么我们有虚构的故事、小说、戏剧、电影等来来满足人们的达不了梦。,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
921,想问看 有谁 在近几个月或现在 住在宿舍的经验吗？ 听说住在宿舍的话，隔离10天之后，也只能在校园区内活动， 完全不能出去买东西什么的？ 那可以叫外卖什么吗？,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
922,没好朋友，没女朋友，我已经做好孤独终老的准备了，哈哈哈。,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
923,What the fact?,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
924,不知道要读AI还是software.未来就业机会如何？薪水？请大家帮忙给点意见，谢谢。,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
926,#USMCFS27176,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
927,"Hii, can any senior who have participated in student exchange program share your experiences? I'm interested but it seem like no student exchange program is available for my course (health science). Are there any other ways?",Positive,"{'Happy': 0.5, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.5, 'Fear': 0.0}"
930,What does it means when you have a meeting date on your result slip? HELP!!!I HAVE NO IDEA BUT IT IS ON 25TH AUGUST!!!,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}"
931,"Congratulations everyone! Whatever your result is, do know that you did your best and that's all that matters",Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.0, 'Fear': 0.5}"
932,Boiiiiis and girlssssss,Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0}"
933,déjà vu,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
934,我努力认真的对待每一科 尽全力做好每一个assignment 最后出来的成绩却那么差 不明白 对usm不透明化的成绩制度抱有疑惑,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
935,Yes I'm fine thanks,Positive,"{'Happy': 0.5, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.5, 'Fear': 0.0}"
937,my best is still not good enough :' jsjnssjks gwencana oo gwencana arasoo chinncaah waeeee khasahamnidaaaaa,Positive,"{'Happy': 0.5, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.0, 'Fear': 0.0}"
938,"Intern是要找过后有机会会被offer的, 还是先随便找一个能安全度过intern的就好?",Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
939,"Instead of complains and negativity, here is some memes!",Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.5, 'Fear': 0.5}"
940,Can i just skip time,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
941,"Instead of complains and negativity, here is some memes hehe",Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.5, 'Fear': 0.5}"
942,"Eventually, you will realise this",Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
943,"There has been several rumours regarding new c*vid cases happening in USM especially the hostel area, is it true?",Positive,"{'Happy': 1.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.0}"
944,???什么逻辑???不要误导人家,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
945,Please recommend some Japanese songs dont know how to choose,Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 1.0, 'Fear': 0.0}"
946,"Hi there, I wanna ask something. So I appealed for jpa and still didn't get it. My cgpa when I applied was 3.47 and my parents' combined salary is almost 9k. I didn't get jpa cause of my pointer or the fact that we're M40? But then I do know some friends whose parents' combined salary exceeds 10k and still managed to secure a place for the scholarship. Or is it pure luck? And oh for those who are in the same shoes as mine, worry not cause they're tons of scholar… See More",Positive,"{'Happy': 0.18, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.18, 'Fear': 0.64}"
